subject,behavior,count,total_duration_s,video_id
2nd Shrimp,CHASE HETERO,0,NA,g101
2nd Shrimp,CHASE CON,0,NA,g101
2nd Shrimp,CHASE UNKNOWN,0,NA,g101
3rd Shrimp,INSIDE,0,0,g101
3rd Shrimp,EDGE,0,0,g101
3rd Shrimp,NEAR,0,0,g101
3rd Shrimp,AWAY,0,0,g101
3rd Shrimp,CONTACT,0,0,g101
3rd Shrimp,APART,0,0,g101
3rd Shrimp,EAT,0,NA,g101
3rd Shrimp,DEFENCE,0,NA,g101
3rd Shrimp,DASH,0,NA,g101
3rd Shrimp,OUT OF FRME,0,0,g101
3rd Shrimp,BLACK EYES,0,0,g101
3rd Shrimp,CHASE HETERO,0,NA,g101
3rd Shrimp,CHASE CON,0,NA,g101
3rd Shrimp,CHASE UNKNOWN,0,NA,g101
1st Goby,INSIDE,1,20.744,g101
1st Goby,EDGE,5,63.657,g101
1st Goby,NEAR,5,42.055,g101
1st Goby,AWAY,2,173.532,g101
1st Goby,CONTACT,5,92.788,g101
1st Goby,APART,5,207.203,g101
1st Goby,EAT,6,NA,g101
1st Goby,DEFENCE,0,NA,g101
1st Goby,DASH,0,NA,g101
1st Goby,OUT OF FRME,3,58.771,g101
1st Goby,BLACK EYES,0,0,g101
1st Goby,CHASE HETERO,0,NA,g101
1st Goby,CHASE CON,0,NA,g101
1st Goby,CHASE UNKNOWN,1,NA,g101
2nd Goby,INSIDE,1,50.889,g101
2nd Goby,EDGE,3,81.418,g101
2nd Goby,NEAR,3,156.052,g101
2nd Goby,AWAY,1,11.634,g101
2nd Goby,CONTACT,2,287.106,g101
2nd Goby,APART,1,12.892,g101
2nd Goby,EAT,3,NA,g101
2nd Goby,DEFENCE,0,NA,g101
2nd Goby,DASH,0,NA,g101
2nd Goby,OUT OF FRME,1,8.864,g101
2nd Goby,BLACK EYES,0,0,g101
2nd Goby,CHASE HETERO,0,NA,g101
2nd Goby,CHASE CON,0,NA,g101
2nd Goby,CHASE UNKNOWN,1,NA,g101
1st Shrimp,INSIDE,0,0,g102
1st Shrimp,EDGE,0,0,g102
1st Shrimp,NEAR,0,0,g102
1st Shrimp,AWAY,0,0,g102
1st Shrimp,CONTACT,0,0,g102
1st Shrimp,APART,0,0,g102
1st Shrimp,EAT,0,NA,g102
1st Shrimp,DEFENCE,0,NA,g102
1st Shrimp,DASH,0,NA,g102
1st Shrimp,OUT OF FRME,0,0,g102
1st Shrimp,BLACK EYES,0,0,g102
1st Shrimp,CHASE HETERO,0,NA,g102
1st Shrimp,CHASE CON,0,NA,g102
1st Shrimp,CHASE UNKNOWN,0,NA,g102
2nd Shrimp,INSIDE,0,0,g102
2nd Shrimp,EDGE,0,0,g102
2nd Shrimp,NEAR,0,0,g102
2nd Shrimp,AWAY,0,0,g102
2nd Shrimp,CONTACT,0,0,g102
2nd Shrimp,APART,0,0,g102
2nd Shrimp,EAT,0,NA,g102
2nd Shrimp,DEFENCE,0,NA,g102
2nd Shrimp,DASH,0,NA,g102
2nd Shrimp,OUT OF FRME,0,0,g102
2nd Shrimp,BLACK EYES,0,0,g102
2nd Shrimp,CHASE HETERO,0,NA,g102
2nd Shrimp,CHASE CON,0,NA,g102
2nd Shrimp,CHASE UNKNOWN,0,NA,g102
3rd Shrimp,INSIDE,0,0,g102
3rd Shrimp,EDGE,0,0,g102
3rd Shrimp,NEAR,0,0,g102
3rd Shrimp,AWAY,0,0,g102
3rd Shrimp,CONTACT,0,0,g102
3rd Shrimp,APART,0,0,g102
3rd Shrimp,EAT,0,NA,g102
3rd Shrimp,DEFENCE,0,NA,g102
3rd Shrimp,DASH,0,NA,g102
3rd Shrimp,OUT OF FRME,0,0,g102
3rd Shrimp,BLACK EYES,0,0,g102
3rd Shrimp,CHASE HETERO,0,NA,g102
3rd Shrimp,CHASE CON,0,NA,g102
3rd Shrimp,CHASE UNKNOWN,0,NA,g102
1st Goby,INSIDE,0,0,g102
1st Goby,EDGE,2,48.112,g102
1st Goby,NEAR,5,154.176,g102
1st Goby,AWAY,3,97.703,g102
1st Goby,CONTACT,3,195.463,g102
1st Goby,APART,3,104.532,g102
1st Goby,EAT,1,NA,g102
1st Goby,DEFENCE,0,NA,g102
1st Goby,DASH,0,NA,g102
1st Goby,OUT OF FRME,2,4.682,g102
1st Goby,BLACK EYES,0,0,g102
1st Goby,CHASE HETERO,0,NA,g102
1st Goby,CHASE CON,0,NA,g102
1st Goby,CHASE UNKNOWN,0,NA,g102
2nd Goby,INSIDE,0,0,g102
2nd Goby,EDGE,0,0,g102
2nd Goby,NEAR,3,60.769,g102
2nd Goby,AWAY,3,239.226,g102
2nd Goby,CONTACT,3,158.602,g102
2nd Goby,APART,4,141.392,g102
2nd Goby,EAT,4,NA,g102
2nd Goby,DEFENCE,0,NA,g102
2nd Goby,DASH,0,NA,g102
2nd Goby,OUT OF FRME,2,132.849,g102
2nd Goby,BLACK EYES,0,0,g102
2nd Goby,CHASE HETERO,0,NA,g102
2nd Goby,CHASE CON,0,NA,g102
2nd Goby,CHASE UNKNOWN,1,NA,g102
1st Shrimp,INSIDE,0,0,g103
1st Shrimp,EDGE,0,0,g103
1st Shrimp,NEAR,0,0,g103
1st Shrimp,AWAY,0,0,g103
1st Shrimp,CONTACT,0,0,g103
1st Shrimp,APART,0,0,g103
1st Shrimp,EAT,0,NA,g103
1st Shrimp,DEFENCE,0,NA,g103
1st Shrimp,DASH,0,NA,g103
1st Shrimp,OUT OF FRME,0,0,g103
1st Shrimp,BLACK EYES,0,0,g103
1st Shrimp,CHASE HETERO,0,NA,g103
1st Shrimp,CHASE CON,0,NA,g103
1st Shrimp,CHASE UNKNOWN,0,NA,g103
2nd Shrimp,INSIDE,0,0,g103
2nd Shrimp,EDGE,0,0,g103
2nd Shrimp,NEAR,0,0,g103
2nd Shrimp,AWAY,0,0,g103
2nd Shrimp,CONTACT,0,0,g103
2nd Shrimp,APART,0,0,g103
2nd Shrimp,EAT,0,NA,g103
2nd Shrimp,DEFENCE,0,NA,g103
2nd Shrimp,DASH,0,NA,g103
2nd Shrimp,OUT OF FRME,0,0,g103
2nd Shrimp,BLACK EYES,0,0,g103
2nd Shrimp,CHASE HETERO,0,NA,g103
2nd Shrimp,CHASE CON,0,NA,g103
2nd Shrimp,CHASE UNKNOWN,0,NA,g103
3rd Shrimp,INSIDE,0,0,g103
3rd Shrimp,EDGE,0,0,g103
3rd Shrimp,NEAR,0,0,g103
3rd Shrimp,AWAY,0,0,g103
3rd Shrimp,CONTACT,0,0,g103
3rd Shrimp,APART,0,0,g103
3rd Shrimp,EAT,0,NA,g103
3rd Shrimp,DEFENCE,0,NA,g103
3rd Shrimp,DASH,0,NA,g103
3rd Shrimp,OUT OF FRME,0,0,g103
3rd Shrimp,BLACK EYES,0,0,g103
3rd Shrimp,CHASE HETERO,0,NA,g103
3rd Shrimp,CHASE CON,0,NA,g103
3rd Shrimp,CHASE UNKNOWN,0,NA,g103
1st Goby,INSIDE,0,0,g103
1st Goby,EDGE,3,26.004,g103
1st Goby,NEAR,5,21.563,g103
1st Goby,AWAY,3,252.423,g103
1st Goby,CONTACT,6,231.102,g103
1st Goby,APART,6,68.887,g103
1st Goby,EAT,0,NA,g103
1st Goby,DEFENCE,5,NA,g103
1st Goby,DASH,0,NA,g103
1st Goby,OUT OF FRME,0,0,g103
1st Goby,BLACK EYES,5,77.109,g103
1st Goby,CHASE HETERO,0,NA,g103
1st Goby,CHASE CON,0,NA,g103
1st Goby,CHASE UNKNOWN,0,NA,g103
2nd Goby,INSIDE,0,0,g103
2nd Goby,EDGE,0,0,g103
2nd Goby,NEAR,0,0,g103
2nd Goby,AWAY,0,0,g103
2nd Goby,CONTACT,0,0,g103
2nd Goby,APART,0,0,g103
2nd Goby,EAT,0,NA,g103
2nd Goby,DEFENCE,0,NA,g103
2nd Goby,DASH,0,NA,g103
2nd Goby,OUT OF FRME,0,0,g103
2nd Goby,BLACK EYES,0,0,g103
2nd Goby,CHASE HETERO,0,NA,g103
2nd Goby,CHASE CON,0,NA,g103
2nd Goby,CHASE UNKNOWN,0,NA,g103
1st Shrimp,INSIDE,0,0,g104
1st Shrimp,EDGE,0,0,g104
1st Shrimp,NEAR,0,0,g104
1st Shrimp,AWAY,0,0,g104
1st Shrimp,CONTACT,0,0,g104
1st Shrimp,APART,0,0,g104
1st Shrimp,EAT,0,NA,g104
1st Shrimp,DEFENCE,0,NA,g104
1st Shrimp,DASH,0,NA,g104
1st Shrimp,OUT OF FRME,0,0,g104
1st Shrimp,BLACK EYES,0,0,g104
1st Shrimp,CHASE HETERO,0,NA,g104
1st Shrimp,CHASE CON,0,NA,g104
1st Shrimp,CHASE UNKNOWN,0,NA,g104
2nd Shrimp,INSIDE,0,0,g104
2nd Shrimp,EDGE,0,0,g104
2nd Shrimp,NEAR,0,0,g104
2nd Shrimp,AWAY,0,0,g104
2nd Shrimp,CONTACT,0,0,g104
2nd Shrimp,APART,0,0,g104
2nd Shrimp,EAT,0,NA,g104
2nd Shrimp,DEFENCE,0,NA,g104
2nd Shrimp,DASH,0,NA,g104
2nd Shrimp,OUT OF FRME,0,0,g104
2nd Shrimp,BLACK EYES,0,0,g104
2nd Shrimp,CHASE HETERO,0,NA,g104
2nd Shrimp,CHASE CON,0,NA,g104
2nd Shrimp,CHASE UNKNOWN,0,NA,g104
3rd Shrimp,INSIDE,0,0,g104
3rd Shrimp,EDGE,0,0,g104
3rd Shrimp,NEAR,0,0,g104
3rd Shrimp,AWAY,0,0,g104
3rd Shrimp,CONTACT,0,0,g104
3rd Shrimp,APART,0,0,g104
3rd Shrimp,EAT,0,NA,g104
3rd Shrimp,DEFENCE,0,NA,g104
3rd Shrimp,DASH,0,NA,g104
3rd Shrimp,OUT OF FRME,0,0,g104
3rd Shrimp,BLACK EYES,0,0,g104
3rd Shrimp,CHASE HETERO,0,NA,g104
3rd Shrimp,CHASE CON,0,NA,g104
3rd Shrimp,CHASE UNKNOWN,0,NA,g104
1st Goby,INSIDE,0,0,g104
1st Goby,EDGE,4,46.768,g104
1st Goby,NEAR,5,38.762,g104
1st Goby,AWAY,2,214.46,g104
1st Goby,CONTACT,10,199.071,g104
1st Goby,APART,9,100.911,g104
1st Goby,EAT,8,NA,g104
1st Goby,DEFENCE,3,NA,g104
1st Goby,DASH,0,NA,g104
1st Goby,OUT OF FRME,1,3.748,g104
1st Goby,BLACK EYES,5,48.129,g104
1st Goby,CHASE HETERO,0,NA,g104
1st Goby,CHASE CON,0,NA,g104
1st Goby,CHASE UNKNOWN,1,NA,g104
2nd Goby,INSIDE,0,0,g104
2nd Goby,EDGE,0,0,g104
2nd Goby,NEAR,0,0,g104
2nd Goby,AWAY,0,0,g104
2nd Goby,CONTACT,0,0,g104
2nd Goby,APART,0,0,g104
2nd Goby,EAT,0,NA,g104
2nd Goby,DEFENCE,0,NA,g104
2nd Goby,DASH,0,NA,g104
2nd Goby,OUT OF FRME,0,0,g104
2nd Goby,BLACK EYES,0,0,g104
2nd Goby,CHASE HETERO,0,NA,g104
2nd Goby,CHASE CON,0,NA,g104
2nd Goby,CHASE UNKNOWN,0,NA,g104
1st Shrimp,INSIDE,0,0,g105
1st Shrimp,EDGE,0,0,g105
1st Shrimp,NEAR,0,0,g105
1st Shrimp,AWAY,0,0,g105
1st Shrimp,CONTACT,0,0,g105
1st Shrimp,APART,0,0,g105
1st Shrimp,EAT,0,NA,g105
1st Shrimp,DEFENCE,0,NA,g105
1st Shrimp,DASH,0,NA,g105
1st Shrimp,OUT OF FRME,0,0,g105
1st Shrimp,BLACK EYES,0,0,g105
1st Shrimp,CHASE HETERO,0,NA,g105
1st Shrimp,CHASE CON,0,NA,g105
1st Shrimp,CHASE UNKNOWN,0,NA,g105
2nd Shrimp,INSIDE,0,0,g105
2nd Shrimp,EDGE,0,0,g105
2nd Shrimp,NEAR,0,0,g105
2nd Shrimp,AWAY,0,0,g105
2nd Shrimp,CONTACT,0,0,g105
2nd Shrimp,APART,0,0,g105
2nd Shrimp,EAT,0,NA,g105
2nd Shrimp,DEFENCE,0,NA,g105
2nd Shrimp,DASH,0,NA,g105
2nd Shrimp,OUT OF FRME,0,0,g105
2nd Shrimp,BLACK EYES,0,0,g105
2nd Shrimp,CHASE HETERO,0,NA,g105
2nd Shrimp,CHASE CON,0,NA,g105
2nd Shrimp,CHASE UNKNOWN,0,NA,g105
3rd Shrimp,INSIDE,0,0,g105
3rd Shrimp,EDGE,0,0,g105
3rd Shrimp,NEAR,0,0,g105
3rd Shrimp,AWAY,0,0,g105
3rd Shrimp,CONTACT,0,0,g105
3rd Shrimp,APART,0,0,g105
3rd Shrimp,EAT,0,NA,g105
3rd Shrimp,DEFENCE,0,NA,g105
3rd Shrimp,DASH,0,NA,g105
3rd Shrimp,OUT OF FRME,0,0,g105
3rd Shrimp,BLACK EYES,0,0,g105
3rd Shrimp,CHASE HETERO,0,NA,g105
3rd Shrimp,CHASE CON,0,NA,g105
3rd Shrimp,CHASE UNKNOWN,0,NA,g105
1st Goby,INSIDE,0,0,g105
1st Goby,EDGE,4,43.252,g105
1st Goby,NEAR,8,79.837,g105
1st Goby,AWAY,5,176.895,g105
1st Goby,CONTACT,12,195.771,g105
1st Goby,APART,11,104.207,g105
1st Goby,EAT,3,NA,g105
1st Goby,DEFENCE,5,NA,g105
1st Goby,DASH,0,NA,g105
1st Goby,OUT OF FRME,0,0,g105
1st Goby,BLACK EYES,9,87.713,g105
1st Goby,CHASE HETERO,0,NA,g105
1st Goby,CHASE CON,0,NA,g105
1st Goby,CHASE UNKNOWN,0,NA,g105
2nd Goby,INSIDE,0,0,g105
2nd Goby,EDGE,0,0,g105
2nd Goby,NEAR,0,0,g105
2nd Goby,AWAY,0,0,g105
2nd Goby,CONTACT,0,0,g105
2nd Goby,APART,0,0,g105
2nd Goby,EAT,0,NA,g105
2nd Goby,DEFENCE,0,NA,g105
2nd Goby,DASH,0,NA,g105
2nd Goby,OUT OF FRME,0,0,g105
2nd Goby,BLACK EYES,0,0,g105
2nd Goby,CHASE HETERO,0,NA,g105
2nd Goby,CHASE CON,0,NA,g105
2nd Goby,CHASE UNKNOWN,0,NA,g105
1st Shrimp,INSIDE,0,0,g106
1st Shrimp,EDGE,0,0,g106
1st Shrimp,NEAR,0,0,g106
1st Shrimp,AWAY,0,0,g106
1st Shrimp,CONTACT,0,0,g106
1st Shrimp,APART,0,0,g106
1st Shrimp,EAT,0,NA,g106
1st Shrimp,DEFENCE,0,NA,g106
1st Shrimp,DASH,0,NA,g106
1st Shrimp,OUT OF FRME,0,0,g106
1st Shrimp,BLACK EYES,0,0,g106
1st Shrimp,CHASE HETERO,0,NA,g106
1st Shrimp,CHASE CON,0,NA,g106
1st Shrimp,CHASE UNKNOWN,0,NA,g106
2nd Shrimp,INSIDE,0,0,g106
2nd Shrimp,EDGE,0,0,g106
2nd Shrimp,NEAR,0,0,g106
2nd Shrimp,AWAY,0,0,g106
2nd Shrimp,CONTACT,0,0,g106
