video_id,subject,behavior,modifiers,count,total_duration_s,duration_mean_s,duration_std_dev,inter_event_intervals_mean_s,inter_event_intervals_std_dev,percent_of_total_length
g101,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g101,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g101,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g101,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g101,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g101,1st Shrimp,APART,,0,0,0,NA,-,-,0
g101,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g101,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g101,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g101,2nd Goby,OUT OF FRME,,1,8.864,8.864,NA,NA,NA,3
g101,2nd Goby,AWAY,,1,11.634,11.634,NA,NA,NA,3.9
g101,2nd Goby,APART,,1,12.892,12.892,NA,NA,NA,4.3
g101,2nd Goby,INSIDE,,1,50.889,50.889,NA,NA,NA,17
g101,2nd Goby,EDGE,,3,81.418,27.139,22.663,69.998,27.021,27.1
g101,2nd Goby,NEAR,,3,156.052,52.017,43.976,14.554,4.126,52
g101,2nd Goby,CONTACT,,2,287.106,143.553,67.172,12.894,NA,95.7
g101,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g101,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g101,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
g101,2nd Shrimp,AWAY,,0,0,0,NA,-,-,0
g101,2nd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g101,2nd Shrimp,APART,,0,0,0,NA,-,-,0
g101,2nd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g101,2nd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g101,3rd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g101,3rd Shrimp,EDGE,,0,0,0,NA,-,-,0
g101,3rd Shrimp,NEAR,,0,0,0,NA,-,-,0
g101,3rd Shrimp,AWAY,,0,0,0,NA,-,-,0
g101,3rd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g101,3rd Shrimp,APART,,0,0,0,NA,-,-,0
g101,3rd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g101,3rd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g102,1st Goby,INSIDE,,0,0,0,NA,-,-,0
g102,1st Goby,BLACK EYES,,0,0,0,NA,-,-,0
g102,1st Goby,OUT OF FRME,,2,4.682,2.341,0.465,4.753,NA,1.6
