burrow,stage,boat_id,stroke,site,goby_number,shrimp_species,goby_total,goby_out,burrow_stage,shrimp_out,shrimp_total,shrimp_number,shrimp_contact
76,During,G,4,SITE 1,1,bellulus,299.987,0.8755212725884787,76 During,0.6749303616520936,299.5835,2,0.8621835685665331
77,Pre,H,4,SITE 1,1,mannarensis,299.98299999999995,0.8325471776734015,77 Pre,0.10318056891232644,299.9935,2,0.5093668540037467
8,During,A,control,SITE 1,2,mannarensis,299.9925,0.625638974307691,8 During,0.21750181675144842,299.986,2,0.6549376995846639
77,Post,H,4,SITE 1,1,mannarensis,300,1,77 Post,0.14287857446471583,299.9575,2,0.4096132915306161
77,During,H,4,SITE 1,1,mannarensis,299.996,0.993943252576701,77 During,0.10179596803093563,299.9775,2,0.2302466553441991
78,Pre,A,2,SITE 3,2,mannarensis,299.9975,1,78 Pre,0.6316576406286722,299.9655,2,0.6829942698662969
78,Post,A,2,SITE 3,2,mannarensis,299.98850000000004,0.6313492017193991,78 Post,0.0596247245769068,299.993,2,0.5295770610274805
78,During,A,2,SITE 3,2,mannarensis,299.995,0.8679111318521976,78 During,0.06334409485696951,299.9885,2,0.45025750429173816
79,During,B,2,SITE 3,2,mannarensis,299.992,0.9221362569668525,79 During,0,299.999,2,0.17248344966899337
79,Post,B,2,SITE 3,2,mannarensis,299.994,0.5913584938365434,79 Post,0.09050344698838558,299.97200000000004,2,0.8414268285365707
79,Pre,B,2,SITE 3,2,mannarensis,299.999,0.9478881596271986,79 Pre,0,300,2,0.10978036593455309
80,Post,C,2,SITE 3,1,sciolii,299.99,0.5813560452015067,80 Post,0.10923743645303775,299.975,2,0.5248256620176539
80,During,C,2,SITE 3,1,sciolii,299.99199999999996,0.9274247313261688,80 During,0.24377906298438304,299.995,2,0.50680013600272
8,Post,A,control,SITE 1,2,mannarensis,299.992,0.47113089682391524,8 Post,0.2706100597692566,299.9870000000001,2,0.8652030720819222
80,Pre,C,2,SITE 3,1,sciolii,299.995,0.9756362606043435,80 Pre,0.397033036636997,299.97,2,0.3918130604353478
81,Post,D,2,SITE 3,2,mannarensis,296.6195,0.6957836554912943,81 Post,0.09081408489204316,299.98100000000005,2,0.8541675000333347
81,During,D,2,SITE 3,2,mannarensis,299.9915,0.5577374692282948,81 During,0.04040301343378113,299.98999999999995,2,0.6155676965795869
81,Pre,D,2,SITE 3,2,mannarensis,299.996,0.49341491219882927,81 Pre,0.15368947412284356,299.975,2,0.9849948999659996
82,Pre,E,2,SITE 3,2,mannarensis,299.995,0.7648194136568943,82 Pre,0.7072108036209865,299.9735,2,0.8808280138002301
82,Post,E,2,SITE 3,2,mannarensis,299.999,0.9671415571385238,82 Post,0.736923866735117,299.974,2,0.7797979966332772
82,During,E,2,SITE 3,2,mannarensis,299.998,0.5087650584337229,82 During,0.35234037303940935,299.9415,2,0.9303683752620894
83,During,F,2,SITE 3,1,unknown,299.998,0.9475363169087795,83 During,0,300,2,0.05343017810059367
83,Post,F,2,SITE 3,1,unknown,299.991,0.8722495008183581,83 Post,0.7099360069610559,299.9545,2,0.8754848118671611
83,Pre,F,2,SITE 3,1,unknown,299.995,0.9849697494958248,83 Pre,0.15495572979171665,299.976,2,0.2778108338291741
9,Post,B,control,SITE 1,1,mannarensis,299.994,0.1994473222797789,9 Post,0.039691958927857054,299.96,1,0.8039040520540275
84,Pre,G,2,SITE 3,2,mannarensis,299.99049999999994,0.5799783659815896,84 Pre,0.4002993598149902,296.633,3,0.9075908874239295
84,During,G,2,SITE 3,2,mannarensis,299.986,0.7864600348016242,84 During,0.32685305204273324,296.5063333333333,3,0.8459681989399647
84,Post,G,2,SITE 3,2,mannarensis,299.9885,0.26571351901822904,84 Post,0,299.99966666666666,3,0.9207430691435637
85,During,H,2,SITE 3,2,mannarensis,299.992,0.6398437291661111,85 During,0.3496924436146627,299.945,2,0.7978906209634542
85,Pre,H,2,SITE 3,2,mannarensis,299.98699999999997,0.8272191794977783,85 Pre,0.6203540575272644,299.9795,2,0.7633769857342153
85,Post,H,2,SITE 3,2,mannarensis,299.99649999999997,0.9353709126606479,85 Post,0.7666933356940154,299.34849999999994,2,0.865742638945835
86,Pre,A,2,SITE 4,1,mannarensis,300,1,86 Pre,0,300,1,0
86,Post,A,2,SITE 4,1,mannarensis,299.987,0.9682519575848286,86 Post,0.2139418749624967,299.974,1,0.35235606282834203
86,During,A,2,SITE 4,1,mannarensis,299.996,1,86 During,0.2596426309297596,299.97,1,0.2712787589085115
87,During,B,2,SITE 4,1,mannarensis,299.99399999999997,0.9317353013726941,87 During,0,300,2,0.12907838771183613
